TYP,EIGENTUEMER,STAND,BEZEICHNUNG,BEMERKUNGEN,SPANNUNG_IN,SPANNUNG_OUT,E,N
Unterwerk,EWZ,bestehend,UW Katz,Zürich,150,16,2682690.658,1247312.666
Unterwerk,EWZ,bestehend,UW Sempersteig,Zürich,150,16,2683734.43,1247622.346
